"Species","Bill.width..mm.","Bill.length..mm.","Kipp.s.index","Bodymass..g."
"Aburria_aburri",18.35,35.48,0.18,1407.5
"Amazona_farinosa",26.5,38.81,0.29,626
"Amazona_mercenaria",17.51,26.3,0.33,340
"Amazona_ochrocephala",20.17,31.4,0.26,440
"Ampelioides_tschudii",16.53,24.58,0.24,78.4
"Ampelion_rufaxilla",16.97,21.89,0.28,73.9
"Andigena_hypoglauca",33.1,97.74,0.1,314
"Anisognathus_igniventris",10.55,15.6,0.16,34
"Anisognathus_somptuosus",10.61,19,0.19,42
"Ara_ararauna",27.22,47.19,0.43,1125
"Ara_chloropterus",37.14,64.07,0.4,1214
"Ara_macao",29.54,47.68,0.38,1015
"Ara_militaris",29.7,45.08,0.42,1134
"Ara_severus",19.49,29.99,0.4,343
"Aratinga_mitrata",17.7,25.06,0.43,249
"Aratinga_weddellii",13.61,19.57,0.44,108
"Aulacorhynchus_coeruleicinctis",26.85,80.28,0.11,208
"Aulacorhynchus_derbianus",27.75,81.98,0.13,210
"Aulacorhynchus_prasinus",26.33,75.49,0.14,199.5
"Bolborhynchus_lineola",8.44,11.37,0.5,56.2
"Bolborhynchus_orbygnesius",9.47,12.93,0.42,43.1
"Brotogeris_cyanoptera",9.93,18,0.37,56
"Brotogeris_sanctithomae",8.8,13.67,0.39,59
"Buthraupis_montana",13.46,21.83,0.21,96
"Cacicus_cela",12.36,32.37,0.28,87.45
"Cacicus_chrysonotus",11.71,27.97,0.16,91.75
"Cacicus_haemorrhous",12.93,32.25,0.26,85.35
"Capito_auratus",15.38,28.97,0.18,62.8
"Catamblyrhynchus_diadema",6.88,9.23,0.11,14.15
"Catharus_fuscater",10.07,21.81,0.16,33.7
"Catharus_ustulatus",9.45,19.82,0.32,30.3
"Celeus_elegans",13.25,33.3,0.16,117
"Celeus_flavus",10.15,27.77,0.18,201
"Celeus_grammicus",10.98,27.28,0.24,73.45
"Celeus_spectabilis",13.07,32.41,0.15,114
"Celeus_torquatus",12.21,36.43,0.21,134
"Cephalopterus_ornatus",30.17,59.19,0.17,380
"Chiroxiphia_boliviana",9.19,14.6,0.16,17.15
"Chiroxiphia_pareola",9.27,12.93,0.16,16.85
"Chlorochrysa_calliparaea",7.5,14.67,0.24,17
"Chlorophanes_spiza",7.79,17.45,0.23,19
"Chlorophonia_cyanea",6.53,10.19,0.28,14
"Chlorornis_riefferii",12,19.67,0.16,53
"Chlorospingus_canigularis",7.66,14.37,0.18,18
"Chlorospingus_flavigularis",10.05,17.02,0.17,25.6
"Chlorospingus_ophthalmicus",7.74,14.13,0.16,15.65
"Chlorospingus_parvirostris",8.52,14.61,0.16,24
"Claravis_mondetoura",6.82,18.41,0.29,89.7
"Colaptes_rubiginosus",11.18,28.08,0.23,65.4
"Conioptilon_mcilhennyi",15.41,23.82,0.23,90
"Conirostrum_cinereum",5.12,11.75,0.19,8.8
"Conirostrum_speciosum",5.6,11.51,0.19,8.8
"Cotinga_cayana",15,25.29,0.25,61.8
"Cotinga_maynana",15.62,23.84,0.24,69
"Cyanerpes_caeruleus",5.96,17.58,0.23,12
"Cyanerpes_cyaneus",6.61,19.73,0.24,14
"Cyanocompsa_cyanoides",11.58,19.28,0.16,32.5
"Cyanocorax_cyanomelas",19.06,37.84,0.15,207
"Cyanocorax_violaceus",20.08,39.8,0.15,262
"Cyanocorax_yncas",15.02,29.66,0.08,78.5
"Dacnis_albiventris",7.04,12.28,0.25,11.2
"Dacnis_cayana",7.66,16.3,0.25,13
"Dacnis_flaviventer",7.32,14.32,0.21,13
"Dacnis_lineata",7.27,13.59,0.25,11
"Delothraupis_castaneoventris",8.47,16.74,0.18,28
"Diglossa_brunneiventris",6.03,14.61,0.16,12
"Diglossa_caerulescens",6.31,14.96,0.16,14.45
"Diglossa_cyanea",7.16,17.32,0.17,17.05
"Diglossa_glauca",5.4,13.31,0.19,12
"Diglossa_mystacalis",5.7,16.34,0.15,16.2
"Diglossa_sittoides",5.15,13.64,0.19,9
"Dubusia_taeniata",11.48,20.13,0.13,37
"Elaenia_albiceps",8.44,15.85,0.23,15.5
"Elaenia_flavogaster",9.5,15.9,0.2,24.8
"Elaenia_gigas",10.82,17.62,0.19,31
"Elaenia_obscura",10.53,16.4,0.17,23.9
"Elaenia_pallatangae",7.06,13.12,0.21,17.8
"Elaenia_parvirostris",8.13,13.79,0.21,13.8
"Elaenia_spectabilis",10.34,18.1,0.19,27.3
"Elaenia_strepera",8.65,13.75,0.21,19.3
"Entomodestes_leucotis",12.88,23.88,0.21,61.7
"Eubucco_richardsoni",12.19,23.91,0.14,33.9
"Eubucco_tucinkae",13.54,25.73,0.15,41.7
"Eubucco_versicolor",12.56,25.13,0.14,32.8
"Euphonia_chlorotica",6.86,9.67,0.26,11
"Euphonia_chrysopasta",8.2,12.68,0.24,14
"Euphonia_laniirostris",7.73,12.22,0.23,15
"Euphonia_mesochrysa",7.4,11.18,0.21,13
"Euphonia_minuta",6.31,11.69,0.26,10
"Euphonia_rufiventris",7.45,12.75,0.21,14
"Euphonia_xanthogaster",7.4,11.69,0.22,13
"Geotrygon_montana",7.19,20.52,0.31,115
"Gymnoderus_foetidus",20.21,34.59,0.22,345
"Icterus_icterus",10.16,26.79,0.18,72.3
"Iodopleura_isabellae",10.09,13.26,0.28,20
"Iridosornis_analis",8.4,14.61,0.16,26
"Iridosornis_jelskii",7.83,13.55,0.16,20
"Lamprospiza_melanoleuca",11.71,19.22,0.24,34
"Laniisoma_elegans",14.23,23.83,0.24,47.4
"Laniocera_hypopyrra",14.68,25.04,0.22,51
"Lepidothrix_coeruleocapilla",7.17,11.89,0.16,8.9
"Lepidothrix_coronata",7.24,13.66,0.15,8
"Lipaugus_vociferans",17.99,30.58,0.19,69.2
"Lophotriccus_pileatus",7.57,13.34,0.13,8.1
"Machaeropterus_pyrocephalus",7.56,11.7,0.2,9.5
"Manacus_manacus",9.8,14.39,0.16,15
"Mionectes_macconnelli",8.4,15.56,0.16,13.5
"Mionectes_oleagineus",7.13,15.99,0.16,9.6
"Mionectes_olivaceus",9.34,18.19,0.16,14.15
"Mionectes_striaticollis",8.78,15.61,0.15,15
"Myadestes_ralloides",11.99,17.66,0.21,29.1
"Nannopsittaca_dachilleae",7.35,9.98,0.31,41.5
"Neopelma_sulphureiventer",8.25,15.28,0.16,15.75
"Ortalis_guttata",13.53,27.31,0.15,550
"Oxyruncus_cristatus",10.91,19.14,0.26,42
"Patagioenas_cayennensis",10.88,25.63,0.39,229
"Patagioenas_fasciata",11.15,27.36,0.35,342.5
"Patagioenas_plumbea",8.06,22.73,0.35,179
"Patagioenas_subvinacea",7.07,18.97,0.35,163
"Penelope_jacquacu",19.08,40.32,0.11,1490
"Penelope_montagnii",16.53,35.09,0.15,706
"Pharomachrus_antisianus",21.75,27.06,0.42,153
"Pharomachrus_auriceps",22.1,30.56,0.37,180
"Pharomachrus_pavoninus",20.53,29.34,0.39,163
"Pheucticus_aureoventris",13.5,21.09,0.22,49
"Pheucticus_chrysogaster",14.07,23.03,0.22,55.8
"Pionites_leucogaster",13.24,21.42,0.32,155
"Pionus_menstruus",16.96,23.2,0.35,251
"Pionus_tumultuosus",15.56,22.74,0.34,239
"Pipile_cumanensis",18.69,37.73,0.15,1242
"Pipra_chloromeros",10.03,14.58,0.16,16.5
"Pipra_fasciicauda",9.3,16.28,0.18,15.9
"Pipraeidea_melanonota",7.66,13.09,0.27,21
"Pipreola_arcuata",17.64,26.19,0.18,118
"Pipreola_frontalis",13.42,17.56,0.19,42.4
"Pipreola_intermedia",13.52,20.88,0.16,51
"Piranga_leucoptera",9.7,16.16,0.21,16
"Piranga_rubra",10.49,20.5,0.28,28.2
"Porphyrolaema_porphyrolaema",12.54,20.26,0.24,60
"Primolius_couloni",20.66,30.38,0.41,250
"Psarocolius_angustifrons",17.3,50.3,0.25,218.5
"Psarocolius_atrovirens",15.91,42.94,0.25,152
"Psarocolius_bifasciatus",16.62,54.97,0.25,405
"Psarocolius_decumanus",17.74,48.49,0.28,216
"Pteroglossus_azara",26.85,95.65,0.18,148
"Pteroglossus_beauharnaesii",29.43,96.99,0.17,216
"Pteroglossus_castanotis",30.91,119.38,0.17,270
"Pteroglossus_inscriptus",24.75,87.57,0.18,116.5
"Pyrilia_barrabandi",13.36,23.38,0.35,140
"Pyrrhura_roseifrons",11.45,15.22,0.37,62.1
"Pyrrhura_rupicola",11,14.84,0.34,75
"Querula_purpurata",18.92,34.67,0.17,114.5
"Ramphastos_tucanus",38.76,175.88,0.16,694.5
"Ramphastos_vitellinus",32.65,130.53,0.14,358.75
"Ramphocelus_carbo",11.36,20.39,0.15,28
"Ramphocelus_nigrogularis",10.56,20,0.16,31
"Saltator_aurantiirostris",12.68,20.04,0.16,42
"Saltator_coerulescens",13.61,22.45,0.14,54.9
"Saltator_grossus",14.19,21.18,0.17,44.2
"Saltator_maximus",12.99,22.69,0.18,47.65
"Schistochlamys_melanopis",10.07,16.66,0.15,33
"Selenidera_reinwardtii",25.94,63.79,0.18,166.75
"Snowornis_subalaris",16.02,26.2,0.23,81.2
"Steatornis_caripensis",31.33,39.66,0.4,408
"Tachyphonus_cristatus",8.07,15.62,0.19,19.8
"Tachyphonus_rufiventer",8.84,17.56,0.19,19
"Tangara_arthus",8.47,14.33,0.22,22
"Tangara_callophrys",7.77,16.11,0.24,22.9
"Tangara_chilensis",7.41,14.27,0.23,23
"Tangara_chrysotis",8.2,15.31,0.26,24
"Tangara_cyanicollis",7.68,13.49,0.22,17
"Tangara_cyanotis",6.76,12.05,0.23,15
"Tangara_gyrola",7.7,14.28,0.2,21
"Tangara_mexicana",7.85,13.82,0.24,20.5
"Tangara_nigrocincta",8.14,13.23,0.22,17
"Tangara_nigroviridis",7.83,12.08,0.23,17
"Tangara_parzudakii",8.99,15.27,0.23,28
"Tangara_punctata",6.84,11.72,0.21,15
"Tangara_ruficervix",7.62,12.77,0.24,19
"Tangara_schrankii",8.16,14.49,0.21,19
"Tangara_vassorii",8.03,12.83,0.23,18
"Tangara_velia",8.25,15.46,0.24,21
"Tangara_viridicollis",8.49,13.54,0.23,21
"Tangara_xanthocephala",7.31,12.85,0.22,19
"Tangara_xanthogastra",6.64,13.35,0.19,15
"Tersina_viridis",13.27,16.15,0.29,29
"Thlypopsis_sordida",7.92,14.34,0.14,17
"Thraupis_bonariensis",10.98,16.74,0.2,36
"Thraupis_cyanocephala",10.71,16.94,0.16,36
"Thraupis_episcopus",10.21,17.48,0.23,35
"Thraupis_palmarum",9.62,18.52,0.22,39
"Tityra_cayana",17.26,30.39,0.28,68.1
"Tityra_inquisitor",15.68,28.62,0.25,43.1
"Tityra_semifasciata",18.72,31.19,0.24,79.3
"Touit_huetii",9.49,12.37,0.42,60
"Trichothraupis_melanops",9.17,17.04,0.19,24.3
"Trogon_collaris",15.78,20.89,0.39,64.2
"Trogon_curucui",17.27,23.1,0.38,54
"Trogon_melanurus",21.79,27.58,0.37,114
"Trogon_personatus",15.95,21.21,0.37,63.4
"Trogon_violaceus",17.61,22.71,0.35,51.5
"Trogon_viridis",21.78,30.42,0.37,89.7
"Turdus_albicollis",10.42,25.87,0.21,54
"Turdus_amaurochalinus",12.5,28.8,0.25,57.9
"Turdus_chiguanco",13.46,32.48,0.22,93.3
"Turdus_fuscater",14.51,33.79,0.18,143
"Turdus_hauxwelli",13.22,27.6,0.23,69
"Turdus_ignobilis",11.92,24.93,0.22,63.85
"Turdus_leucops",12.32,25.79,0.26,62.4
"Turdus_nigriceps",11.71,26.31,0.22,52.7
"Turdus_serranus",13.26,30.74,0.21,84.9
"Tyrannus_savana",11.55,21.02,0.34,31.9
"Tyrannus_tyrannus",13.48,24.58,0.31,42.2
"Xenopipo_holochlora",8.7,14.68,0.19,15.5
"Xenopipo_unicolor",10,14.68,0.19,15.5
"Zimmerius_bolivianus",6.52,11.27,0.14,11
"Zimmerius_gracilipes",5.84,11.12,0.12,7.15
