"","Abuta_grandifolia","Alchornea_latifolia","Alchornea_triplinervia","Allophylus_punctatus","Alnus_acuminata","Aniba_guianensis","Anthurium_croatii","Anthurium_obtusum","Ardisia_guianensis","Ardisia_loretensis","Bactris_hirta","Banara_arguta","Bejaria_aestuans","Besleria_compta","Bocconia_integrifolia","Bomarea_edulis","Brachyotum_grisebachii","Brachyotum_weberbaueri","Brosimum_utile","Brunellia_stenoptera","Cabralea_canjerana","Calatola_costaricensis","Calyptranthes_ruiziana","Calyptranthes_speciosa","Caryocar_amygdaliforme","Caryocar_glabrum","Casearia_combaymensis","Casearia_corymbosa","Casearia_obovalis","Casearia_ulmifolia","Cavendishia_bracteata","Cayaponia_citrullifolia","Cecropia_angustifolia","Cecropia_polystachya","Cecropia_strigosa","Celtis_iguanaea","Cestrum_parqui","Cestrum_reflexum","Chamaedorea_pauciflora","Chamaedorea_pinnatifrons","Chrysochlamys_ulei","Chrysochlamys_weberbaueri","Chrysophyllum_argenteum","Chrysophyllum_ulei","Cissus_alata","Clavija_elliptica","Clethra_revoluta","Clidemia_capitellata","Clidemia_dentata","Clidemia_dimorphica","Clidemia_hirta","Clidemia_septuplinervia","Clusia_alata","Clusia_elliptica","Clusia_flavida","Clusia_hammeliana","Clusia_trochiformis","Coccocypselum_hirsutum","Collaea_speciosa","Conceveiba_terminalis","Condaminea_corymbosa","Conostegia_inusitata","Cordia_nodosa","Croton_pachypodus","Croton_rusbyi","Cybianthus_venezuelanus","Demosthenesia_mandonii","Dendropanax_cuneatus","Dendrophthora_chrysostachya","Dendrophthora_densifolia","Dendrophthora_paucifolia","Desfontainia_spinosa","Diogenesia_vargasiana","Dioicodendron_dioicum","Disterigma_alaternoides","Disterigma_ovatum","Elaeagia_mariae","Euterpe_precatoria","Faramea_capillipes","Faramea_flavicans","Faramea_glandulosa","Faramea_multiflora","Faramea_uniflora","Ficus_americana","Ficus_coerulescens","Ficus_paraensis","Ficus_piresiana","Ficus_trigona","Freziera_angulosa","Freziera_karsteniana","Freziera_parva","Freziera_reticulata","Gaultheria_bracteata","Gaultheria_buxifolia","Gaultheria_erecta","Gaultheria_glomerata","Gaultheria_reticulata","Geonoma_brongniartii","Geonoma_macrostachys","Geonoma_maxima","Geonoma_stricta","Graffenrieda_cucullata","Graffenrieda_emarginata","Guarea_kunthiana","Guarea_macrophylla","Guarea_pterorhachis","Guatteria_brevicuspis","Guatteria_duodecima","Guatteria_guentheri","Guatteria_terminalis","Guatteria_trichocarpa","Guatteria_ucayalina","Guettarda_crispiflora","Gurania_bignoniacea","Gymnosporia_magnifolia","Hasseltia_floribunda","Hedyosmum_angustifolium","Hedyosmum_cuatrecazanum","Hedyosmum_goudotianum","Hedyosmum_scabrum","Hedyosmum_sprucei","Hedyosmum_tepuiense","Hedyosmum_translucidum","Heisteria_acuminata","Heliconia_subulata","Helicostylis_elegans","Helicostylis_scabra","Helicostylis_tomentosa","Helicostylis_tovarensis","Hesperomeles_ferruginea","Hesperomeles_obtusifolia","Hevea_guianensis","Hieronyma_moritziana","Hieronyma_oblonga","Hiraea_fagifolia","Homalium_guianense","Hydrangea_jelskii","Ilex_nervosa","Ilex_villosula","Inga_acreana","Inga_punctata","Iriartea_deltoidea","Iryanthera_hostmannii","Isertia_laevis","Jacaratia_digitata","Ladenbergia_oblongifolia","Leandra_secunda","Leonia_crassa","Licania_micrantha","Ligaria_cuneifolia","Lunania_parviflora","Lycianthes_amatitlanensis","Maieta_guianensis","Maieta_poeppigii","Malanea_sarmentosa","Marcgravia_crenata","Marcgraviastrum_macrocarpum","Margaritopsis_cephalantha","Margaritopsis_huallagae","Matisia_ochrocalyx","Mayna_odorata","Maytenus_verticillata","Meliosma_frondosa","Meliosma_peytonii","Mendoncia_aspera","Meriania_tomentosa","Miconia_adrieni","Miconia_affinis","Miconia_aggregata","Miconia_alpina","Miconia_amplexicaulis","Miconia_aprica","Miconia_asperrima","Miconia_barbeyana","Miconia_caerulea","Miconia_calvescens","Miconia_carpishana","Miconia_centrodesma","Miconia_cuneata","Miconia_cyanocarpa","Miconia_denticulata","Miconia_egensis","Miconia_elaeagnoides","Miconia_elongata","Miconia_emendata","Miconia_floribunda","Miconia_galactantha","Miconia_hygrophila","Miconia_longifolia","Miconia_media","Miconia_micropetala","Miconia_minutiflora","Miconia_modica","Miconia_multispicata","Miconia_myriantha","Miconia_nervosa","Miconia_phanerostila","Miconia_platyphylla","Miconia_prasina","Miconia_pyrifolia","Miconia_serrulata","Miconia_spennerostachya","Miconia_triplinervis","Mollinedia_lanceolata","Mollinedia_ovata","Mollinedia_racemosa","Mollinedia_repanda","Monnina_connectisepala","Monnina_densecomata","Monnina_hirtella","Monnina_marginata","Morella_pubescens","Moutabea_aculeata","Mucuna_elliptica","Mucuna_sloanei","Muehlenbeckia_tamnifolia","Myrcia_bracteata","Myrcia_fallax","Myrcia_splendens","Myrsine_coriacea","Myrsine_dependens","Myrteola_nummularia","Myrteola_phylicoides","Naucleopsis_krukovii","Nectandra_cuspidata","Neea_floribunda","Neea_laxa","Neea_spruceana","Notopleura_epiphytica","Notopleura_polyphlebia","Notopleura_triaxillaris","Ocotea_amazonica","Ocotea_oblonga","Oreopanax_capitatus","Oreopanax_microflorous","Oreopanax_ruizii","Orthaea_boliviensis","Otoba_glycycarpa","Palicourea_amethystina","Palicourea_buchtienii","Palicourea_conferta","Palicourea_grandiflora","Palicourea_herrerae","Palicourea_lineata","Palicourea_macbridei","Palicourea_mansoana","Palicourea_microcarpa","Palicourea_stipularis","Palicourea_subspicata","Palicourea_virens","Passiflora_auriculata","Passovia_stelis","Paullinia_alata","Paullinia_elegans","Peristethium_polystachyum","Pernettya_prostrata","Persea_buchtienii","Persea_mutisii","Phoradendron_chrysocladon","Phoradendron_undulatum","Phthirusa_pyrifolia","Phytolacca_rivinoides","Picramnia_sellowii","Piper_arboreum","Piper_augustum","Piper_costatum","Piper_crassinervium","Piper_lanceaefolium","Piper_machupicchuense","Piper_obliquum","Piper_pallididorsum","Piper_positum","Pleurothyrium_trianae","Podocarpus_oleifolius","Pourouma_bicolor","Pourouma_cecropiifolia","Pourouma_guianensis","Pourouma_tomentosa","Pouteria_torta","Protium_guianense","Protium_sagotianum","Protium_spruceanum","Prunus_huantensis","Prunus_integrifolia","Psammisia_coarctata","Psychotria_brachiata","Psychotria_buchtienii","Psychotria_conephoroides","Psychotria_herzogii","Psychotria_hospitalis","Psychotria_limitanea","Psychotria_longicuspis","Psychotria_lupulina","Psychotria_microbotrys","Psychotria_officinalis","Psychotria_racemosa","Psychotria_reticulata","Psychotria_schunkei","Psychotria_trichotoma","Psychotria_viridis","Quararibea_cordata","Quararibea_wittii","Quiina_amazonica","Randia_ferox","Rauvolfia_leptophylla","Ribes_bolivianum","Rollinia_chrysocarpa","Ronabea_latifolia","Roupala_monosperma","Rubus_adenotrichos","Rubus_floribundus","Rubus_roseus","Rudgea_loretensis","Rudgea_poeppigii","Rudgea_sessiliflora","Rudgea_verticillata","Ruyschia_pavonii","Sabicea_panamensis","Sapium_glandulosum","Saracha_punctata","Sarcopera_anomala","Saurauia_peruviana","Schefflera_acuminata","Schefflera_kuntzei","Schefflera_mathewsii","Schefflera_patula","Senefeldera_inclinata","Senna_herzogii","Senna_multijuga","Siparuna_thecaphora","Siparuna_tomentosa","Siphonandra_elliptica","Sloanea_fragrans","Sloanea_gracilis","Smilax_domingensis","Solanum_actaeibotrys","Solanum_acuminatum","Solanum_amblophyllum","Solanum_americanum","Solanum_dimorphandrum","Solanum_leucopogon","Solanum_lindenii","Solanum_nutans","Solanum_obliquum","Solanum_schlechtendalianum","Solanum_scuticum","Solanum_ternatum","Souroubea_guianensis","Souroubea_pachyphylla","Spirotheca_rosea","Stylogyne_serpentina","Styrax_foveolaria","Swartzia_myrtifolia","Symplocos_arechea","Symplocos_bogotensis","Symplocos_fimbriata","Symplocos_psiloclada","Symplocos_quitensis","Symplocos_reflexa","Tabernaemontana_cymosa","Tabernaemontana_sananho","Tapirira_guianensis","Ternstroemia_brachypoda","Ternstroemia_penduliflora","Theobroma_cacao","Thibaudia_crenulata","Thoracocarpus_bissectus","Tibouchina_calycina","Tococa_caquetana","Tococa_quadrialata","Tovomita_stylosa","Tovomita_weddelliana","Trema_micrantha","Trichilia_elegans","Trichilia_quadrijuga","Trigynaea_duckei","Tripodanthus_acutifolius","Turpinia_occidentalis","Urera_lianoides","Vaccinium_crenatum","Vaccinium_dependens","Vaccinium_floribundum","Vallea_stipularis","Viburnum_ayavacense","Viburnum_hallii","Viburnum_reticulatum","Viburnum_seemenii","Vismia_gracilis","Vismia_schultesii","Wettinia_augusta","Zanthoxylum_mantaro","Zanthoxylum_riedelianum"
"elev_250",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1
"elev_500",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1
"elev_1000",0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
"elev_1500",0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
"elev_2000",0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0
"elev_2500",0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0
"elev_3000",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0
"elev_3500",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"elev_3750",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"elev_4000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
