"","Fruit.length..mm.","Fruit.width..mm.","Plant.height..m.","Crop.mass..g."
"Abuta_grandifolia",17.48,9.38,6,341.25
"Alchornea_latifolia",6.82,8.23,11.53,1290.48
"Alchornea_triplinervia",8.18,10.26,14.72,1156.67
"Allophylus_punctatus",13.58,12.49,4.4,33.34
"Alnus_acuminata",19.32,11.48,17.54,5009.33
"Aniba_guianensis",15.65,13.43,8,25.5
"Anthurium_croatii",288.2,16.2,5,22440
"Anthurium_obtusum",2.66,2.86,5,0.83
"Ardisia_guianensis",4.78,6.31,4.17,327.59
"Ardisia_loretensis",8.84,9.13,1.01,6.92
"Bactris_hirta",8.27,6.91,1.22,2.63
"Banara_arguta",8.93,9.02,5.2,241.54
"Bejaria_aestuans",6.27,7.22,3.07,48.99
"Besleria_compta",11.29,7.3,1.4,6.2
"Bocconia_integrifolia",12.89,5.3,6,185
"Bomarea_edulis",16.37,16.62,2,49.07
"Brachyotum_grisebachii",7.37,5.7,1.2,9.17
"Brachyotum_weberbaueri",7.73,5.99,3,24.6
"Brosimum_utile",8.18,11.37,24,470.59
"Brunellia_stenoptera",2.84,4.54,14,143.7
"Cabralea_canjerana",32.8,34.86,18.25,1591.62
"Calatola_costaricensis",66.95,43.15,14.33,9528.9
"Calyptranthes_ruiziana",5.7,8,16,490
"Calyptranthes_speciosa",3.92,3.1,3.83,3.45
"Caryocar_amygdaliforme",67.2,76.43,8,1141.6
"Caryocar_glabrum",12.02,9.77,14,9800
"Casearia_combaymensis",28.44,30.31,7,200.63
"Casearia_corymbosa",10.54,9.99,10.63,1778.6
"Casearia_obovalis",75.38,78.98,9.14,2018.37
"Casearia_ulmifolia",4.72,3.87,20,1026
"Cavendishia_bracteata",6.37,8.54,4.1,77.88
"Cayaponia_citrullifolia",13.95,16.18,11.2,94.02
"Cecropia_angustifolia",0.8,0.5,25.9,12476
"Cecropia_polystachya",0.8,0.5,13,6813.39
"Cecropia_strigosa",0.8,0.5,12.11,3813.06
"Celtis_iguanaea",13.68,9.29,6,34.13
"Cestrum_parqui",6.57,5.91,3.88,470.76
"Cestrum_reflexum",7.69,6.21,4.4,88.39
"Chamaedorea_pauciflora",11.56,7.17,2.1,11.34
"Chamaedorea_pinnatifrons",9.09,7.65,3,64.22
"Chrysochlamys_ulei",12.26,10.36,4.64,217.18
"Chrysochlamys_weberbaueri",14.65,15.75,5,56.81
"Chrysophyllum_argenteum",9.39,8.99,15,404
"Chrysophyllum_ulei",25.44,18.65,11.33,2408.63
"Cissus_alata",6.67,7.5,5.2,175.85
"Clavija_elliptica",19.21,22.45,0.3,65.3
"Clethra_revoluta",3.1,5.17,5,3.96
"Clidemia_capitellata",5.87,4.73,1.6,0.33
"Clidemia_dentata",8.08,7.51,2.37,39.12
"Clidemia_dimorphica",2.28,3.55,1.7,11.14
"Clidemia_hirta",6.4,5.62,1.84,12.88
"Clidemia_septuplinervia",8.37,7.77,0.6,7
"Clusia_alata",30.34,38.4,8.42,2986.22
"Clusia_elliptica",21.57,25.9,13.23,2274.02
"Clusia_flavida",19.11,11.12,14.18,4165.2
"Clusia_hammeliana",18.47,19.5,3,137.28
"Clusia_trochiformis",8,6.38,6.75,2812.95
"Coccocypselum_hirsutum",14.55,8.65,0.3,2.76
"Collaea_speciosa",81.78,11.69,2.5,36
"Conceveiba_terminalis",16.25,14.45,12.83,1917.81
"Condaminea_corymbosa",24.44,10.36,6,114.33
"Conostegia_inusitata",4.6,3.64,6.25,53.38
"Cordia_nodosa",13.72,14.35,3.4,33.98
"Croton_pachypodus",24.41,16.88,8,36.25
"Croton_rusbyi",4.91,6.48,6.76,7.18
"Cybianthus_venezuelanus",7.66,9.03,8.33,390
"Demosthenesia_mandonii",7.05,7.56,2.5,5.13
"Dendropanax_cuneatus",5.16,4.79,10,45.5
"Dendrophthora_chrysostachya",4.23,4.5,6,2.12
"Dendrophthora_densifolia",3.66,3.67,1.46,6.57
"Dendrophthora_paucifolia",3.77,2.97,2,4.33
"Desfontainia_spinosa",9.67,8.11,2.5,1.17
"Diogenesia_vargasiana",4.14,4.25,5.67,140.71
"Dioicodendron_dioicum",4.71,2.61,9.07,118.67
"Disterigma_alaternoides",5.98,5.44,3.34,24.47
"Disterigma_ovatum",5.98,5.44,3.34,24.47
"Elaeagia_mariae",2.73,2.78,9.8,22.4
"Euterpe_precatoria",13.55,14.14,22,4475
"Faramea_capillipes",7.95,6.65,5.38,21.15
"Faramea_flavicans",9.87,9.31,9.08,192.63
"Faramea_glandulosa",8.61,12.61,6.22,297.4
"Faramea_multiflora",5.43,8.99,4.33,23.22
"Faramea_uniflora",7.34,8.74,3.42,11.72
"Ficus_americana",4.73,3.68,15,606.67
"Ficus_coerulescens",5.17,6.21,15,5400
"Ficus_paraensis",8.01,7.52,13.5,5156.25
"Ficus_piresiana",9.41,9.89,14,9360
"Ficus_trigona",13.71,12.12,12.88,31752.73
"Freziera_angulosa",3.75,3.38,4.14,66.46
"Freziera_karsteniana",5.5,3.81,10.5,112.93
"Freziera_parva",7.14,4.72,6,81.88
"Freziera_reticulata",11.94,10.35,11.11,785.33
"Gaultheria_bracteata",4.59,6.11,2.26,41.28
"Gaultheria_buxifolia",5.26,6.63,1.81,31.33
"Gaultheria_erecta",5.76,8.52,3.3,35.26
"Gaultheria_glomerata",4.81,6.75,2.53,73.02
"Gaultheria_reticulata",4.23,5.33,2.84,86.34
"Geonoma_brongniartii",7.17,6.7,8,57.75
"Geonoma_macrostachys",8.41,6.54,1.36,8.75
"Geonoma_maxima",10.73,6.88,3.04,10.86
"Geonoma_stricta",6.62,5.74,1.26,7.63
"Graffenrieda_cucullata",5.64,4.73,8.25,58.13
"Graffenrieda_emarginata",4.23,3.92,5.38,34.34
"Guarea_kunthiana",25.3,19.08,4,70.27
"Guarea_macrophylla",19.51,15.5,4.36,65.89
"Guarea_pterorhachis",22.4,17.29,4.18,75.04
"Guatteria_brevicuspis",26.41,6.64,4.38,8.23
"Guatteria_duodecima",22.3,17.38,13.3,7372.17
"Guatteria_guentheri",11.18,5.34,20.5,546
"Guatteria_terminalis",8.71,5.4,7.34,427.11
"Guatteria_trichocarpa",14.1,8.15,26,123
"Guatteria_ucayalina",12.54,7.56,5.67,71.13
"Guettarda_crispiflora",9.22,8.49,10.55,1448.64
"Gurania_bignoniacea",26.64,20.09,11.5,86.77
"Gymnosporia_magnifolia",8.5,8.94,11,731.5
"Hasseltia_floribunda",7.67,7.51,8.75,33.87
"Hedyosmum_angustifolium",7.85,7.22,4.94,269.81
"Hedyosmum_cuatrecazanum",15.08,12.19,7.2,331.81
"Hedyosmum_goudotianum",4.49,5.18,6.11,83.44
"Hedyosmum_scabrum",10.6,8.78,6.18,95.7
"Hedyosmum_sprucei",6.18,6.52,3.69,19.29
