PID,Abies amabilis,Abies concolor,Abies grandis,Abies lasiocarpa,Abies magnifica,Abies procera,Acer glabrum,Acer macrophyllum,Acer negundo,Aesculus californica,Alnus rhombifolia,Alnus rubra,Arbutus menziesii,Betula occidentalis,Calocedrus decurrens,Cercocarpus ledifolius,Chamaecyparis lawsoniana,Chrysolepis chrysophylla,Cornus nuttallii,Cupressus bakeri,Cupressus macrocarpa,Cupressus sargentii,Elaeagnus angustifolia,Eucalyptus globulus,Fraxinus latifolia,Fraxinus velutina,Juglans californica,Juglans hindsii,Juniperus californica,Juniperus occidentalis,Juniperus osteosperma,Larix occidentalis,Liquidambar styraciflua,Notholithocarpus densiflorus,Olneya tesota,Picea breweriana,Picea engelmannii,Picea sitchensis,Pinus albicaulis,Pinus aristata,Pinus attenuata,Pinus balfouriana,Pinus contorta,Pinus coulteri,Pinus flexilis,Pinus jeffreyi,Pinus lambertiana,Pinus longaeva,Pinus monophylla,Pinus monticola,Pinus muricata,Pinus ponderosa,Pinus radiata,Pinus sabiniana,Platanus racemosa,Populus balsamifera,Populus fremontii,Populus tremuloides,Prosopis glandulosa,Prosopis pubescens,Prunus emarginata,Prunus virginiana,Pseudotsuga macrocarpa,Pseudotsuga menziesii,Pyrus calleryana,Quercus agrifolia,Quercus chrysolepis,Quercus douglasii,Quercus engelmannii,Quercus garryana,Quercus kelloggii,Quercus lobata,Quercus muehlenbergii,Quercus wislizeni,Sequoia sempervirens,Sequoiadendron giganteum,Taxus brevifolia,Thuja plicata,Torreya californica,Tsuga heterophylla,Tsuga mertensiana,Umbellularia californica
2_6_89_24_555,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
5_6_19_65993_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2_6_49_91_555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_6_107_54130_501,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5_6_39_92314_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_6_35_91103_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_6_57_85248_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_6_55_52_555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_6_53_88882_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_6_93_69144_501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
