"Species","Bark thickness","Conduit diam.","Crown diameter","Crown height","Leaf K","Leaf N","Leaf P","Leaf Vcmax","Leaf area","Leaf density","Leaf thickness","Root depth","Seed dry mass","Specific leaf area","Stem diameter","Stomatal conduct.","Tree height","Wood density"
"Abarema abbottii",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,32.5905718266838,0.903090925756101,0.311716655418113,2498.37863910099,0.513651204019822,0.269332483873364,3,70.6423207259126,13.6380515932211,0.852,204.669954248582,40,0.441501564151381
"Abarema acreana",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.1936204773813,0.903090925756101,0.311716655418113,2498.37863910099,0.524434268748954,0.266993155734952,3,71.0045587037654,13.6593300554168,0.852,204.669954248582,40,0.447673461009368
"Abarema alexandri",2.35875620968449,55.8067718509066,12.48038461,14,11.7631066544144,28.613137675959,1.48901662434797,0.206133817802308,16741.9145976365,0.518758943560729,0.12120942681257,3,43.2495569876765,17.7188205213343,0.759996684,343.212000813415,21,0.52975503578547
"Abarema asplenifolia",2.35875620968449,55.8067718509066,12.48038461,14,11.7631066544144,28.613137675959,1.48901662434797,0.206133817802308,16741.9145976365,0.518758943560729,0.12120942681257,3,43.2495569876765,17.7188205213343,0.759996684,343.212000813415,21,0.52975503578547
"Abarema auriculata",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,32.7877324845583,0.903090925756101,0.311716655418113,2498.37863910099,0.511483724665527,0.259027569190457,3,72.9426776937232,13.8619795258826,0.852,204.669954248582,40,0.44666061563943
"Abarema barbouriana",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,33.5842054274309,0.903090925756101,0.311716655418113,2498.37863910099,0.513637172333943,0.247927365475222,3,75.8554576744646,13.6141086754603,0.852,204.669954248582,40,0.424857151513955
"Abarema barnebyana",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,34.5440843213257,0.903090925756101,0.311716655418113,2498.37863910099,0.513637172333943,0.247927365475222,3,75.8554576744646,13.7363163099606,0.852,204.669954248582,40,0.441405530448571
"Abarema brachystachya",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.8592707984388,0.903090925756101,0.311716655418113,2498.37863910099,0.520707073226239,0.247426131776904,3,75.4082545566039,13.984603560689,0.852,204.669954248582,35,0.477304633203614
"Abarema callejasii",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,28.2764674779676,0.903090925756101,0.311716655418113,2498.37863910099,0.533304911704796,0.278395945294057,3,71.7950366806137,13.0884821057404,0.852,204.669954248582,35,0.448801395798459
"Abarema campestris",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.6027336147733,0.903090925756101,0.311716655418113,2498.37863910099,0.531638261611614,0.244876444515997,3,76.6965894292659,13.5952981721322,0.852,204.669954248582,35,0.448814454490207
"Abarema centiflora",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,30.7417918740216,0.903090925756101,0.311716655418113,2498.37863910099,0.535550230887565,0.266638965508274,3,75.1047659836502,13.19939495132,0.852,204.669954248582,40,0.447048629043295
"Abarema cochleata",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,32.1060169564707,0.903090925756101,0.311716655418113,2498.37863910099,0.522547002332028,0.257358430167993,3,76.6965894292659,13.3894052809014,0.852,204.669954248582,40,0.445154029858677
"Abarema cochliocarpos",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,29.8708993319533,0.903090925756101,0.311716655418113,2498.37863910099,0.542568514773906,0.244130068809557,3,77.0932397208921,13.3994052200093,0.852,204.669954248582,40,0.451622561765344
"Abarema commutata",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,34.2700281420892,0.903090925756101,0.311716655418113,2498.37863910099,0.504853739976826,0.261467605908021,3,75.1062122488759,13.8752332490658,0.852,204.669954248582,40,0.453182523637531
"Abarema curvicarpa",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.9265307901093,0.903090925756101,0.311716655418113,2498.37863910099,0.515452119800159,0.258984819905307,3,75.9390359116964,14.1295573965459,0.852,204.669954248582,40,0.462448435955474
"Abarema ferruginea",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,33.2780426390004,0.903090925756101,0.311716655418113,2498.37863910099,0.51523331493659,0.25955843244883,3,76.6999396318215,13.7803287152789,0.852,204.669954248582,40,0.454127883246405
"Abarema filamentosa",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,34.2327650681081,0.903090925756101,0.311716655418113,2498.37863910099,0.513637172333943,0.247927365475222,3,75.8554576744646,13.9635923492474,0.852,204.669954248582,40,0.455767687841636
"Abarema floribunda",4.63094085252266,55.8067718509066,12.48038461,14,3.75301390038694,26.5927647713054,0.771163553832855,0.311716655418113,2498.37863910099,0.462343011783736,0.210804732313983,3,113.57373689421,11.8853217008768,1.18,204.669954248582,45,0.533779107749887
"Abarema gallorum",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,33.3994598052339,0.903090925756101,0.311716655418113,2498.37863910099,0.533537284939494,0.246969745816081,3,76.6999396318215,13.9951040620698,0.852,204.669954248582,40,0.451765979038454
"Abarema ganymedea",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.1775981901162,0.903090925756101,0.311716655418113,2498.37863910099,0.535437176686094,0.28681804797267,3,69.0192727422269,13.8856020656692,0.852,204.669954248582,40,0.446961110668916
"Abarema glauca",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,33.4837195759738,0.903090925756101,0.311716655418113,2498.37863910099,0.506106923731056,0.272893114230653,3,73.0262363409539,13.8546038798311,0.852,204.669954248582,40,0.453634848481812
"Abarema idiopoda",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,30.6487933845182,0.903090925756101,0.311716655418113,2498.37863910099,0.535201790133572,0.245472140977875,3,76.7844483269996,13.2780685720211,0.852,204.669954248582,40,0.456827088622031
"Abarema josephi",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,32.2805798970536,0.903090925756101,0.311716655418113,2498.37863910099,0.51523331493659,0.25955843244883,3,76.6999396318215,13.4482531087101,0.852,204.669954248582,40,0.442165916598136
"Abarema jupunba",4.63094085252266,55.8067718509066,12.48038461,14,3.75301390038694,26.5927647713054,0.771163553832855,0.311716655418113,2498.37863910099,0.462343011783736,0.210804732313983,3,113.57373689421,11.8853217008768,1.18,204.669954248582,45,0.533779107749887
"Abarema killipii",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,29.9591973837754,0.903090925756101,0.311716655418113,2498.37863910099,0.552235799798768,0.244607099974222,3,77.5504355195734,11.8342213041376,0.852,204.669954248582,40,0.454407590927132
"Abarema laeta",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,37.6556100539285,0.903090925756101,0.311716655418113,2498.37863910099,0.522788969404928,0.248953922661013,3,75.8554576744646,15.0365374535521,0.852,204.669954248582,40,0.458094763503478
"Abarema lehmannii",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,28.3495154940896,0.903090925756101,0.311716655418113,2498.37863910099,0.524636254933496,0.266922949344186,3,73.771569865888,12.0334039397808,0.852,204.669954248582,40,0.454389989565312
"Abarema leucophylla",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,30.999030950202,0.903090925756101,0.311716655418113,2498.37863910099,0.552235799798768,0.252523300600742,3,74.5928523632529,13.5099861007528,0.852,204.669954248582,40,0.445620582452102
"Abarema levelii",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,31.4358688816904,0.903090925756101,0.311716655418113,2498.37863910099,0.531675878907628,0.270049482197243,3,73.835995957508,13.7306068896163,0.852,204.669954248582,40,0.451195891094715
"Abarema limae",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,26.5817074112122,0.903090925756101,0.311716655418113,2498.37863910099,0.544752698886888,0.265744597583329,3,72.2208118751104,11.296371782735,0.852,204.669954248582,40,0.448128709290235
"Abarema longipedunculata",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,26.405772752837,0.903090925756101,0.311716655418113,2498.37863910099,0.548371476506616,0.262941438063219,3,72.2493902523033,11.1857960331834,0.852,204.669954248582,40,0.44147421823459
"Abarema macradenia",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,26.2717434910239,0.903090925756101,0.311716655418113,2498.37863910099,0.568342373990728,0.252574123494602,3,75.6501162902343,10.956983944229,0.852,204.669954248582,40,0.445893869242683
"Abarema mataybifolia",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,27.9275952176654,0.903090925756101,0.311716655418113,2498.37863910099,0.486806483679738,0.274832798078942,3,71.9817267394274,11.6292683973671,0.852,204.669954248582,40,0.455825336762507
"Abarema microcalyx",4.7541234654845,55.8067718509066,12.48038461,14,3.82028979555262,22.2123658900785,0.903090925756101,0.311716655418113,2498.37863910099,0.520636431960947,0.30175340016257,3,64.4091810220054,11.6063198260975,0.852,204.669954248582,35,0.45786093736989
